SAMPLE,GROUP,BATCH
GSM2897335_20150318_C06_C06_03.RCC,bloodHD,6
GSM2897336_20150407_C02_C02_10.RCC,bloodHD,2
GSM2897337_20150415_C15_C15_02.RCC,bloodHD,15
GSM2897338_20150318_C06_C06_05.RCC,bloodHD,6
GSM2897339_20150414_C14_C14_07.RCC,bloodHD,14
GSM2897340_20150407_C02_C02_01.RCC,bloodHD,2
GSM2897341_20141224_Pre-HD_HD_08.RCC,bloodcontrol,0
GSM2897342_20150407_C02_C02_04.RCC,bloodcontrol,2
GSM2897343_20150617_c18_c18_01.RCC,bloodHD,18
GSM2897344_20150415_C15_C15_09.RCC,bloodHD,15
GSM2897345_20150311_c03_c03_07.RCC,bloodHD,3
GSM2897346_20141224_Pre-HD_HD_11.RCC,bloodHD,0
GSM2897347_20150311_c03_c03_06.RCC,bloodHD,3
GSM2897348_20150407_C01_C01_03.RCC,bloodHD,1
GSM2897349_20150415_C17_C17_03.RCC,bloodHD,17
GSM2897350_20150407_C02_C02_05.RCC,bloodHD,2
GSM2897351_20150407_C02_C02_09.RCC,bloodHD,2
GSM2897352_20150318_C06_C06_01.RCC,bloodHD,6
GSM2897353_20150325_C07_C07_10.RCC,bloodHD,7
GSM2897354_20150325_C07_C07_04.RCC,bloodHD,7
GSM2897355_20150414_C13_C13_12.RCC,bloodHD,13
GSM2897356_20150401_C10_C10_02.RCC,bloodHD,10
GSM2897357_20150407_C01_C01_07.RCC,bloodHD,1
GSM2897358_20150415_C17_C17_07.RCC,bloodHD,17
GSM2897359_20150617_c18_c18_02.RCC,bloodcontrol,18
GSM2897360_20150401_C09_C09_11.RCC,bloodHD,9
GSM2897361_20150617_c18_c18_03.RCC,bloodHD,18
GSM2897362_20150617_c18_c18_04.RCC,bloodHD,18
GSM2897363_20150311_c04_c04_11.RCC,bloodHD,4
GSM2897364_20150401_C10_C10_05.RCC,bloodHD,10
GSM2897365_20150318_C05_C05_09.RCC,bloodHD,5
GSM2897366_20150401_C09_C09_05.RCC,bloodHD,9
GSM2897367_20150415_C15_C15_03.RCC,bloodcontrol,15
GSM2897368_20150414_C14_C14_05.RCC,bloodHD,14
GSM2897369_20150408_C12_C12_02.RCC,bloodHD,12
GSM2897370_20150415_C15_C15_08.RCC,bloodcontrol,15
GSM2897371_20150408_C11_C11_06.RCC,bloodHD,11
GSM2897372_20150415_C15_C15_06.RCC,bloodcontrol,15
GSM2897373_20150617_c18_c18_06.RCC,bloodHD,18
GSM2897374_20150311_c04_c04_07.RCC,bloodHD,4
GSM2897375_20150408_C11_C11_10.RCC,bloodcontrol,11
GSM2897376_20150407_C01_C01_08.RCC,bloodHD,1
GSM2897377_20150415_C17_C17_08.RCC,bloodHD,17
GSM2897378_20150408_C11_C11_01.RCC,bloodHD,11
GSM2897379_20150401_C09_C09_03.RCC,bloodHD,9
GSM2897380_20150415_C16_C16_10.RCC,bloodHD,16
GSM2897381_20150325_C08_C08_01.RCC,bloodcontrol,8
GSM2897382_20150311_c04_c04_10.RCC,bloodcontrol,4
GSM2897383_20150414_C13_C13_02.RCC,bloodcontrol,13
GSM2897384_20150414_C14_C14_12.RCC,bloodcontrol,14
GSM2897385_20150318_C05_C05_07.RCC,bloodcontrol,5
GSM2897386_20150325_C08_C08_12.RCC,bloodcontrol,8
GSM2897387_20150311_c03_c03_05.RCC,bloodHD,3
GSM2897388_20150414_C14_C14_04.RCC,bloodcontrol,14
GSM2897389_20150318_C05_C05_08.RCC,bloodHD,5
GSM2897390_20150407_C02_C02_03.RCC,bloodHD,2
GSM2897391_20150407_C02_C02_02.RCC,bloodcontrol,2
GSM2897392_20141224_Pre-HD_HD_06.RCC,bloodcontrol,0
GSM2897393_20150414_C13_C13_01.RCC,bloodHD,13
GSM2897394_20150311_c03_c03_02.RCC,bloodcontrol,3
GSM2897395_20141224_Pre-HD_HD_10.RCC,bloodHD,0
GSM2897396_20150407_C02_C02_11.RCC,bloodHD,2
GSM2897397_20150415_C15_C15_11.RCC,bloodHD,15
GSM2897398_20150325_C08_C08_08.RCC,bloodHD,8
GSM2897399_20150325_C07_C07_03.RCC,bloodcontrol,7
GSM2897400_20150408_C11_C11_07.RCC,bloodHD,11
GSM2897401_20150415_C16_C16_12.RCC,bloodcontrol,16
GSM2897402_20150414_C13_C13_06.RCC,bloodHD,13
GSM2897403_20150408_C11_C11_04.RCC,bloodHD,11
GSM2897404_20150311_c04_c04_02.RCC,bloodHD,4
GSM2897405_20150415_C16_C16_03.RCC,bloodcontrol,16
GSM2897406_20150414_C13_C13_07.RCC,bloodHD,13
GSM2897407_20150414_C13_C13_11.RCC,bloodHD,13
GSM2897408_20150325_C07_C07_07.RCC,bloodHD,7
GSM2897409_20150407_C02_C02_07.RCC,bloodHD,2
GSM2897410_20150617_c18_c18_07.RCC,bloodHD,18
GSM2897411_20150415_C16_C16_04.RCC,bloodcontrol,16
GSM2897412_20150414_C14_C14_09.RCC,bloodHD,14
GSM2897413_20150311_c04_c04_12.RCC,bloodHD,4
GSM2897414_20150318_C05_C05_06.RCC,bloodcontrol,5
GSM2897415_20150325_C07_C07_08.RCC,bloodcontrol,7
GSM2897416_20150617_c18_c18_08.RCC,bloodHD,18
GSM2897417_20150325_C08_C08_11.RCC,bloodHD,8
GSM2897418_20150407_C01_C01_09.RCC,bloodcontrol,1
GSM2897419_20150415_C17_C17_09.RCC,bloodcontrol,17
GSM2897420_20150407_C02_C02_12.RCC,bloodHD,2
GSM2897421_20150407_C02_C02_06.RCC,bloodHD,2
GSM2897422_20150414_C13_C13_03.RCC,bloodcontrol,13
GSM2897423_20150401_C10_C10_11.RCC,bloodcontrol,10
GSM2897424_20150415_C16_C16_08.RCC,bloodcontrol,16
